GWAS	analysis_class	frozen_archetype	condition	set_id	n_genes_requested	n_genes_mapped_to_entrez	n_genes_tested	beta	SE	P	BH_FDR	status
T1D	gained_vs_control	IRF/3	palmitate	DA0145	303	218	218.0	-0.005162	0.073027	0.52818	0.914618494623656	primary
T1D	gained_vs_control	KAISO	3-cyt	DA0146	1672	1134	1133.0	0.05251	0.033151	0.056607	0.38389779166666665	primary
T1D	gained_vs_control	KAISO	Ex-4_HG	DA0147	1856	1268	1267.0	0.074748	0.031634	0.0090724	0.22471636923076924	primary
T1D	gained_vs_control	KAISO	IFNg	DA0148	2395	1614	1614.0	0.062753	0.028569	0.014035	0.2644128421052631	primary
T1D	gained_vs_control	KAISO	dex	DA0149	1839	1260	1260.0	0.054333	0.031483	0.042202	0.33972610000000003	primary
T1D	gained_vs_control	KAISO	palmitate	DA0150	1455	978	976.0	0.070727	0.035464	0.023067	0.2797352	primary
T1D	gained_vs_control	KLF/SP/1	3-cyt	DA0151	1409	877	877.0	0.042078	0.037443	0.13056	0.5292070000000001	primary
T1D	gained_vs_control	KLF/SP/1	Ex-4_HG	DA0152	1352	822	822.0	0.010195	0.038558	0.39574	0.8559150303030303	primary
T1D	gained_vs_control	KLF/SP/1	IFNg	DA0153	1143	701	701.0	0.019418	0.041102	0.31831	0.8559150303030303	primary
T1D	gained_vs_control	KLF/SP/1	dex	DA0154	2025	1226	1226.0	0.032483	0.03223	0.15677	0.5869760465116279	primary
T1D	gained_vs_control	KLF/SP/1	palmitate	DA0155	1656	1012	1012.0	0.068562	0.034881	0.024681	0.2797352	primary
T1D	gained_vs_control	KLF/SP/2	3-cyt	DA0156	2719	1823	1823.0	0.056627	0.02664	0.016772	0.27002919999999997	primary
T1D	gained_vs_control	KLF/SP/2	Ex-4_HG	DA0157	3419	2314	2314.0	0.0037508	0.02427	0.43859	0.8559150303030303	primary
T1D	gained_vs_control	KLF/SP/2	IFNg	DA0158	3792	2605	2604.0	-0.013099	0.023039	0.71517	0.9706555833333332	primary
T1D	gained_vs_control	KLF/SP/2	dex	DA0159	3166	2145	2144.0	0.047049	0.024928	0.029562	0.2797352	primary
T1D	gained_vs_control	KLF/SP/2	palmitate	DA0160	2617	1805	1805.0	0.050909	0.026839	0.028933	0.2797352	primary
T1D	gained_vs_control	MAF	3-cyt	DA0161	627	306	306.0	-0.020355	0.062282	0.6281	0.9500965258215963	primary
T1D	gained_vs_control	MAF	Ex-4_HG	DA0162	620	294	294.0	0.015677	0.060911	0.39844	0.8559150303030303	primary
T1D	gained_vs_control	MAF	IFNg	DA0163	557	258	258.0	-0.10767	0.065253	0.95052	0.993261980830671	primary
T1D	gained_vs_control	MAF	dex	DA0164	850	419	419.0	-0.025721	0.053366	0.68508	0.9574593991416309	primary
T1D	gained_vs_control	MAF	palmitate	DA0165	772	364	363.0	-0.079808	0.056214	0.92215	0.993261980830671	primary
T1D	gained_vs_control	MBD2	3-cyt	DA0166	2258	1534	1533.0	-0.0072901	0.029155	0.59872	0.9440254634146342	primary
T1D	gained_vs_control	MBD2	Ex-4_HG	DA0167	2243	1503	1502.0	0.037862	0.029249	0.097756	0.45830400000000004	primary
T1D	gained_vs_control	MBD2	IFNg	DA0168	2607	1785	1784.0	-0.0010669	0.027196	0.51565	0.9144446153846154	primary
T1D	gained_vs_control	MBD2	dex	DA0169	1959	1325	1324.0	0.044115	0.030901	0.076707	0.44291947368421053	primary
T1D	gained_vs_control	MBD2	palmitate	DA0170	1798	1243	1242.0	0.018875	0.031483	0.27442	0.8181781481481482	primary
T1D	gained_vs_control	NFAC/2	3-cyt	DA0171	2	1						insufficient
T1D	gained_vs_control	NFAC/2	Ex-4_HG	DA0172	7	4	4.0	0.83474	0.56697	0.07048	0.42819924528301884	insufficient
T1D	gained_vs_control	NFAC/2	IFNg	DA0173	1	0						insufficient
T1D	gained_vs_control	NFAC/2	dex	DA0174	4	2	2.0	0.93695	0.80599	0.12253	0.5179181818181818	insufficient
T1D	gained_vs_control	NFAC/2	palmitate	DA0175	6	1						insufficient
T1D	gained_vs_control	NFAT/3	3-cyt	DA0176	9	6	6.0	0.63294	0.40096	0.057227	0.38389779166666665	insufficient
T1D	gained_vs_control	NFAT/3	Ex-4_HG	DA0177	3	2	2.0	-0.22282	0.67969	0.62848	0.9500965258215963	insufficient
T1D	gained_vs_control	NFAT/3	IFNg	DA0178	5	1						insufficient
T1D	gained_vs_control	NFAT/3	dex	DA0179	0	0						insufficient
T1D	gained_vs_control	NFAT/3	palmitate	DA0180	6	3	3.0	-0.8609	0.50055	0.95727	0.993261980830671	insufficient
T1D	gained_vs_control	NFAT/4	3-cyt	DA0181	110	54	54.0	0.29387	0.14652	0.022454	0.2797352	primary
T1D	gained_vs_control	NFAT/4	Ex-4_HG	DA0182	84	44	44.0	-0.039587	0.16147	0.59683	0.9440254634146342	primary
T1D	gained_vs_control	NFAT/4	IFNg	DA0183	40	26	26.0	0.18547	0.21553	0.19475	0.667122340425532	exploratory
T1D	gained_vs_control	NFAT/4	dex	DA0184	129	71	71.0	-0.11582	0.12868	0.81594	0.9913178169014085	primary
T1D	gained_vs_control	NFAT/4	palmitate	DA0185	78	48	48.0	0.2396	0.15846	0.065272	0.4165859215686274	primary
T1D	gained_vs_control	NFY	3-cyt	DA0186	190	97	97.0	-0.088755	0.10833	0.79369	0.9913178169014085	primary
T1D	gained_vs_control	NFY	Ex-4_HG	DA0187	172	76	76.0	0.16907	0.12139	0.081847	0.45439196551724137	primary
T1D	gained_vs_control	NFY	IFNg	DA0188	137	65	65.0	0.20699	0.12856	0.053707	0.38389779166666665	primary
T1D	gained_vs_control	NFY	dex	DA0189	191	96	96.0	0.16193	0.10749	0.065981	0.4165859215686274	primary
T1D	gained_vs_control	NFY	palmitate	DA0190	171	77	77.0	0.025048	0.11625	0.4147	0.8559150303030303	primary
T1D	gained_vs_control	NR/1	3-cyt	DA0191	631	311	311.0	-0.13482	0.060644	0.98689	0.9956541874999999	primary
T1D	gained_vs_control	NR/1	Ex-4_HG	DA0192	412	207	207.0	-0.11775	0.074913	0.942	0.993261980830671	primary
T1D	gained_vs_control	NR/1	IFNg	DA0193	509	254	254.0	-0.076537	0.067806	0.87049	0.9913178169014085	primary
T1D	gained_vs_control	NR/1	dex	DA0194	378	188	188.0	-0.1544	0.078333	0.97564	0.9956541874999999	primary
T1D	gained_vs_control	NR/1	palmitate	DA0195	809	418	418.0	-0.089878	0.05307	0.95482	0.993261980830671	primary
T1D	gained_vs_control	NR/13	3-cyt	DA0196	4	0						insufficient
T1D	gained_vs_control	NR/13	Ex-4_HG	DA0197	5	2	2.0	-0.38187	0.81826	0.67963	0.9574593991416309	insufficient
T1D	gained_vs_control	NR/13	IFNg	DA0198	3	2	2.0	0.66585	0.69277	0.16824	0.6226813793103448	insufficient
T1D	gained_vs_control	NR/13	dex	DA0199	0	0						insufficient
T1D	gained_vs_control	NR/13	palmitate	DA0200	3	1						insufficient
T1D	gained_vs_control	NR/18	3-cyt	DA0201	91	41	41.0	0.20585	0.15934	0.098208	0.45830400000000004	primary
T1D	gained_vs_control	NR/18	Ex-4_HG	DA0202	98	43	43.0	-0.0065628	0.15526	0.51686	0.9144446153846154	primary
T1D	gained_vs_control	NR/18	IFNg	DA0203	116	59	59.0	0.078696	0.1406	0.28784	0.82917875	primary
T1D	gained_vs_control	NR/18	dex	DA0204	55	27	27.0	-0.082039	0.2035	0.65658	0.9566459728506789	exploratory
T1D	gained_vs_control	NR/18	palmitate	DA0205	88	42	42.0	0.026692	0.1606	0.434	0.8559150303030303	primary
T1D	gained_vs_control	NR/20	3-cyt	DA0206	22	10	10.0	0.05974	0.3549	0.43316	0.8559150303030303	exploratory
T1D	gained_vs_control	NR/20	Ex-4_HG	DA0207	29	11	11.0	-0.16417	0.32581	0.69282	0.9574593991416309	exploratory
T1D	gained_vs_control	NR/20	IFNg	DA0208	14	6	6.0	-0.51605	0.45716	0.8705	0.9913178169014085	insufficient
T1D	gained_vs_control	NR/20	dex	DA0209	505	237	237.0	0.0112	0.071788	0.43801	0.8559150303030303	primary
T1D	gained_vs_control	NR/20	palmitate	DA0210	11	3	3.0	0.077151	0.70968	0.45672	0.8720674556213018	insufficient
T1D	gained_vs_control	NR/4	3-cyt	DA0211	152	69	69.0	-0.024105	0.13051	0.57327	0.9341559798994975	primary
T1D	gained_vs_control	NR/4	Ex-4_HG	DA0212	142	74	74.0	-0.023674	0.12267	0.57652	0.9341559798994975	primary
T1D	gained_vs_control	NR/4	IFNg	DA0213	109	52	52.0	-0.040665	0.14742	0.60866	0.9468044444444444	primary
T1D	gained_vs_control	NR/4	dex	DA0214	101	48	48.0	-0.10287	0.1502	0.7533	0.9913178169014085	primary
T1D	gained_vs_control	NR/4	palmitate	DA0215	138	58	58.0	-0.11939	0.14279	0.79845	0.9913178169014085	primary
T1D	gained_vs_control	NRF1	3-cyt	DA0216	1895	1258	1257.0	0.029688	0.031443	0.17255	0.6313761363636364	primary
T1D	gained_vs_control	NRF1	Ex-4_HG	DA0217	2012	1340	1340.0	0.12048	0.030992	5.0837e-05	0.016369514	primary
T1D	gained_vs_control	NRF1	IFNg	DA0218	1988	1311	1310.0	0.085449	0.031334	0.0031983	0.12700324000000002	primary
T1D	gained_vs_control	NRF1	dex	DA0219	2620	1745	1745.0	0.080907	0.02773	0.0017655	0.09698639999999999	primary
T1D	gained_vs_control	NRF1	palmitate	DA0220	2075	1360	1359.0	0.099101	0.030948	0.00068326	0.07333657333333334	primary
