GWAS	set_id	analysis_class	TF	condition	membership_rule	n_genes_HGNC	n_genes_mapped_to_entrez	size_status	included_in_MAGMA	exact_membership_group_within_class_condition	n_TFs_with_exact_membership	NGENES_MAGMA	post_MAGMA_size_status	BETA	BETA_STD	SE	P	Q_BH_within_condition_class	Q_BH_across_analysis_class	Q_BH_across_primary_signed
T2D_diamante2022	SCTF2343	unsigned_sensitivity	CLOCK	palmitate	empirical_p_condition<0.01; unsigned sensitivity	150	119	primary	True	unsigned_sensitivity|palmitate|D027	1	115	primary	0.095084	0.007502	0.10758	0.1884	0.48473200000000005	0.5649906484641638	
T2D_diamante2022	SCTF2344	unsigned_sensitivity	CPEB1	palmitate	empirical_p_condition<0.01; unsigned sensitivity	149	103	primary	True	unsigned_sensitivity|palmitate|D028	1	96	primary	0.29009	0.020922	0.11644	0.0063675	0.2055516666666667	0.33521402777777776	
T2D_diamante2022	SCTF2345	unsigned_sensitivity	CREB1	palmitate	empirical_p_condition<0.01; unsigned sensitivity	118	76	primary	True	unsigned_sensitivity|palmitate|D029	1	74	primary	0.050292	0.0031866	0.12851	0.34777	0.6289165	0.6797645474613687	
T2D_diamante2022	SCTF2346	unsigned_sensitivity	CREB3	palmitate	empirical_p_condition<0.01; unsigned sensitivity	145	103	primary	True	unsigned_sensitivity|palmitate|D030	1	102	primary	0.10097	0.0075056	0.11435	0.18861	0.48473200000000005	0.5649906484641638	
T2D_diamante2022	SCTF2347	unsigned_sensitivity	CREB3L1	palmitate	empirical_p_condition<0.01; unsigned sensitivity	171	120	primary	True	unsigned_sensitivity|palmitate|D031	1	117	primary	0.017215	0.0013699	0.10807	0.43672	0.6806290082644628	0.7128172659176031	
T2D_diamante2022	SCTF2348	unsigned_sensitivity	CREB3L2	palmitate	empirical_p_condition<0.01; unsigned sensitivity	134	84	primary	True	unsigned_sensitivity|palmitate|D032	1	82	primary	-0.17475	-0.011653	0.1246	0.9196	0.92022	0.9344774242424242	
T2D_diamante2022	SCTF2349	unsigned_sensitivity	CREB5	palmitate	empirical_p_condition<0.01; unsigned sensitivity	135	92	primary	True	unsigned_sensitivity|palmitate|D033	1	86	primary	0.073002	0.0049848	0.1244	0.27866	0.5727186363636364	0.6487803947368422	
T2D_diamante2022	SCTF2350	unsigned_sensitivity	CREM	palmitate	empirical_p_condition<0.01; unsigned sensitivity	151	100	primary	True	unsigned_sensitivity|palmitate|D034	1	100	primary	0.11683	0.0085994	0.11141	0.14717	0.4757883928571429	0.5363392050209205	
T2D_diamante2022	SCTF2351	unsigned_sensitivity	CTCF	palmitate	empirical_p_condition<0.01; unsigned sensitivity	112	87	primary	True	unsigned_sensitivity|palmitate|D035	1	86	primary	0.174	0.011882	0.11476	0.064735	0.3825120408163265	0.47751007200000006	
T2D_diamante2022	SCTF2352	unsigned_sensitivity	CUX2	palmitate	empirical_p_condition<0.01; unsigned sensitivity	151	107	primary	True	unsigned_sensitivity|palmitate|D036	1	99	primary	0.081476	0.005967	0.11421	0.23781	0.537469875	0.6099793294460641	
