frozen_archetype	motif_family	candidate_TF	annotation_source	membership_evidence	motif_compatibility_level	SCbeta_baseline_expression_logCPM	SCbeta_dynamic_range	max_abs_logFC	DE_in_any_condition	n_dynamic_conditions	usable_for_candidate_TF_assignment
FOX/5	FOX	FOXJ2	Vierstra_cluster_member (lib_archetype_map, Cluster_ID=80)	exact Vierstra archetype cluster member gene	archetype_cluster_member	3.024	2.176	1.277	True	1	True
FOX/5	FOX	FOXJ3	Vierstra_cluster_member (lib_archetype_map, Cluster_ID=80)	exact Vierstra archetype cluster member gene	archetype_cluster_member	8.212	0.805	0.433	False	0	True
FOX/5	FOX	FOXK1	Vierstra_cluster_member (lib_archetype_map, Cluster_ID=80)	exact Vierstra archetype cluster member gene	archetype_cluster_member	7.054	2.187	1.382	True	1	True
FOX/5	FOX	FOXL1	Vierstra_cluster_member (lib_archetype_map, Cluster_ID=80)	exact Vierstra archetype cluster member gene	archetype_cluster_member				False	0	False
FOX/5	FOX	FOXL2	Vierstra_cluster_member (lib_archetype_map, Cluster_ID=80)	exact Vierstra archetype cluster member gene	archetype_cluster_member				False	0	False
FOX/5	FOX	FOXO1	Vierstra_cluster_member (lib_archetype_map, Cluster_ID=80)	exact Vierstra archetype cluster member gene	archetype_cluster_member	8.578	0.832	0.478	False	0	True
FOX/5	FOX	FOXO3	Vierstra_cluster_member (lib_archetype_map, Cluster_ID=80)	exact Vierstra archetype cluster member gene	archetype_cluster_member	7.939	1.265	0.656	False	0	True
FOX/5	FOX	FOXO4	Vierstra_cluster_member (lib_archetype_map, Cluster_ID=80)	exact Vierstra archetype cluster member gene	archetype_cluster_member				False	0	False
FOX/5	FOX	FOXO6	Vierstra_cluster_member (lib_archetype_map, Cluster_ID=80)	exact Vierstra archetype cluster member gene	archetype_cluster_member	2.986	3.72	2.089	True	8	True
FOX/5	FOX	FOXP2	Vierstra_cluster_member (lib_archetype_map, Cluster_ID=80)	exact Vierstra archetype cluster member gene	archetype_cluster_member	9.472	2.694	1.572	True	4	True
FOX/5	FOX	FOXP3	Vierstra_cluster_member (lib_archetype_map, Cluster_ID=80)	exact Vierstra archetype cluster member gene	archetype_cluster_member	0.598	2.264	1.389	True	2	False
FOX/5	FOX	FOXQ1	Vierstra_cluster_member (lib_archetype_map, Cluster_ID=80)	exact Vierstra archetype cluster member gene	archetype_cluster_member				False	0	False
FOX/6	FOX	FOXB1	Vierstra_cluster_member (lib_archetype_map, Cluster_ID=87)	exact Vierstra archetype cluster member gene	archetype_cluster_member				False	0	False
FOX/6	FOX	FOXC1	Vierstra_cluster_member (lib_archetype_map, Cluster_ID=87)	exact Vierstra archetype cluster member gene	archetype_cluster_member				False	0	False
FOX/6	FOX	FOXC2	Vierstra_cluster_member (lib_archetype_map, Cluster_ID=87)	exact Vierstra archetype cluster member gene	archetype_cluster_member				False	0	False
FOX/6	FOX	FOXD2	Vierstra_cluster_member (lib_archetype_map, Cluster_ID=87)	exact Vierstra archetype cluster member gene	archetype_cluster_member				False	0	False
FOX/6	FOX	FOXD3	Vierstra_cluster_member (lib_archetype_map, Cluster_ID=87)	exact Vierstra archetype cluster member gene	archetype_cluster_member				False	0	False
GATA	GATA	GATA1	Vierstra_cluster_member (lib_archetype_map, Cluster_ID=242)	exact Vierstra archetype cluster member gene	archetype_cluster_member				False	0	False
GATA	GATA	GATA1+TAL1	Vierstra_cluster_member (lib_archetype_map, Cluster_ID=242)	exact Vierstra archetype cluster member gene	archetype_cluster_member				False	0	False
GATA	GATA	GATA2	Vierstra_cluster_member (lib_archetype_map, Cluster_ID=242)	exact Vierstra archetype cluster member gene	archetype_cluster_member				False	0	False
