TF	condition	database	n_query_genes	n_positive_rho_genes	n_negative_rho_genes	n_background_genes	n_pathways_tested	query_status	n_pathways_with_overlap	n_pathways_FDR_lt_0.05	minimum_P	minimum_BH_FDR
BACH1	Ex-4_HG	Hallmark	61	36	21	20749	50	testable	25	0	0.0025995837796065997	0.09157210698860097
BACH1	Ex-4_HG	Reactome	61	36	21	20749	1816	testable	128	0	0.00318148265217698	1.0
BACH1	IFNg	GO_BP	195	151	42	20749	5392	testable	1094	0	1.5529002867578614e-05	0.08373238346198389
BACH1	IFNg	Hallmark	195	151	42	20749	50	testable	39	1	0.0005740311538806294	0.02870155769403147
BACH1	IFNg	Reactome	195	151	42	20749	1816	testable	433	0	0.00016893110409518913	0.30677888503686346
BACH1	dex	GO_BP	166	90	75	20749	5392	testable	751	0	0.00018986510928962463	1.0
BACH1	dex	Hallmark	166	90	75	20749	50	testable	28	0	0.0035949433721197584	0.10895550581625624
BACH1	dex	Reactome	166	90	75	20749	1816	testable	319	0	0.0009344147370979639	1.0
BACH1	palmitate	GO_BP	179	85	89	20749	5392	testable	887	0	0.0033733794192991836	1.0
BACH1	palmitate	Hallmark	179	85	89	20749	50	testable	29	0	0.0010754842737797123	0.05377421368898561
BACH1	palmitate	Reactome	179	85	89	20749	1816	testable	459	0	0.003319070471943066	1.0
BACH2	3-cyt	GO_BP	54	30	23	20749	5392	testable	421	0	0.0016240200223680739	1.0
BACH2	3-cyt	Hallmark	54	30	23	20749	50	testable	21	0	0.008088968137091044	0.20069130681432376
BACH2	3-cyt	Reactome	54	30	23	20749	1816	testable	205	0	0.008415252078426345	1.0
BACH2	Ex-4_HG	GO_BP	187	127	56	20749	5392	testable	959	0	0.00012893119607299786	0.5744693138003389
BACH2	Ex-4_HG	Hallmark	187	127	56	20749	50	testable	37	0	0.032451203052143496	0.869085918718959
BACH2	Ex-4_HG	Reactome	187	127	56	20749	1816	testable	339	0	0.0034668107174731042	1.0
BACH2	IFNg	GO_BP	179	76	101	20749	5392	testable	866	0	0.0002207718754173767	1.0
BACH2	IFNg	Hallmark	179	76	101	20749	50	testable	35	0	0.002525084707465858	0.1262542353732929
BACH2	IFNg	Reactome	179	76	101	20749	1816	testable	411	0	0.008202672278994532	1.0
BACH2	dex	GO_BP	174	82	91	20749	5392	testable	903	0	0.0008144546170232493	1.0
BACH2	dex	Hallmark	174	82	91	20749	50	testable	38	0	0.002262331016026595	0.11311655080132973
BACH2	dex	Reactome	174	82	91	20749	1816	testable	445	0	0.0006877107747387157	0.8238203243075057
BACH2	palmitate	GO_BP	148	112	31	20749	5392	testable	849	0	0.00024707111414263444	1.0
BACH2	palmitate	Hallmark	148	112	31	20749	50	testable	30	0	0.012290315195182713	0.4514608702724022
BACH2	palmitate	Reactome	148	112	31	20749	1816	testable	518	0	0.002313266623134893	1.0
BHLHE40	3-cyt	GO_BP	176	89	86	20749	5392	testable	1057	0	0.00021343396544015495	0.6827713015854743
BHLHE40	3-cyt	Hallmark	176	89	86	20749	50	testable	24	0	0.004777664203233485	0.23888321016167424
BHLHE40	3-cyt	Reactome	176	89	86	20749	1816	testable	544	0	0.0006150339137541415	0.8952978380383985
BHLHE40	Ex-4_HG	GO_BP	135	62	69	20749	5392	testable	729	0	0.0015305758422666147	1.0
BHLHE40	Ex-4_HG	Hallmark	135	62	69	20749	50	testable	33	0	0.012991837419541444	0.3884143258402237
BHLHE40	Ex-4_HG	Reactome	135	62	69	20749	1816	testable	358	0	9.303441671302824e-05	0.16895050075085927
BHLHE40	IFNg	GO_BP	31	21	8	20749	5392	testable	165	0	0.00032563166696217527	1.0
BHLHE40	IFNg	Hallmark	31	21	8	20749	50	testable	14	0	0.016793751177107432	0.3551694962112047
BHLHE40	IFNg	Reactome	31	21	8	20749	1816	testable	39	0	0.014843628071894389	1.0
BHLHE40	dex	GO_BP	160	95	64	20749	5392	testable	928	0	5.189681031457936e-05	0.25361258474972764
BHLHE40	dex	Hallmark	160	95	64	20749	50	testable	33	1	0.00017323312001275702	0.008661656000637851
BHLHE40	dex	Reactome	160	95	64	20749	1816	testable	482	0	0.0037960913880139666	1.0
BHLHE40	palmitate	GO_BP	40	12	23	20749	5392	testable	287	0	0.0001624322984281107	0.4799154711708114
BHLHE40	palmitate	Hallmark	40	12	23	20749	50	testable	18	0	0.0024745513920721262	0.12372756960360631
BHLHE40	palmitate	Reactome	40	12	23	20749	1816	testable	149	0	0.0031804429510428806	1.0
BHLHE41	3-cyt	GO_BP	187	138	48	20749	5392	testable	1116	0	1.982235089713456e-05	0.10688211603734955
BHLHE41	3-cyt	Hallmark	187	138	48	20749	50	testable	38	1	0.0004530669709831532	0.02265334854915766
BHLHE41	3-cyt	Reactome	187	138	48	20749	1816	testable	489	24	7.509038693581217e-07	0.0003302680998851029
BHLHE41	Ex-4_HG	GO_BP	213	129	80	20749	5392	testable	1106	0	0.001027745463687729	1.0
BHLHE41	Ex-4_HG	Hallmark	213	129	80	20749	50	testable	33	0	0.08012496569556854	1.0
BHLHE41	Ex-4_HG	Reactome	213	129	80	20749	1816	testable	482	0	0.00016562269762692515	0.30077081889049606
BHLHE41	IFNg	GO_BP	174	132	40	20749	5392	testable	840	0	0.00012061923175779073	0.6180227495651925
BHLHE41	IFNg	Hallmark	174	132	40	20749	50	testable	33	0	0.006195543919002539	0.309777195950127
BHLHE41	IFNg	Reactome	174	132	40	20749	1816	testable	486	0	0.0013076371832405613	1.0
BHLHE41	dex	GO_BP	199	130	68	20749	5392	testable	891	0	0.00012119623584422861	0.5388180764387759
